Element_ID,Wall_Element_ID,Building_Level,Orientation,Glass_Area_m2,Window_Width_m,Window_Height_m,Azimuth_degrees,Annual_Radiation_kWh_m2,PV_Suitable,BIPV_Technology,BIPV_Efficiency_%,BIPV_Transparency_%,BIPV_Power_Density_W_m2,System_Capacity_kW,Annual_Generation_kWh,Cost_per_m2_EUR,Total_System_Cost_EUR,Payback_Period_Years,Solution_Status
# Project: TU Berlin H Building PhD Calculations
# Electricity Rate Used: 0.315 EUR/kWh

349359,342220,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349634,342220,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349657,342220,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349662,342220,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349667,342220,1,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349693,342220,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349694,342220,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349696,342220,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349697,342220,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349698,342220,0,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349702,342220,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349703,342220,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349705,342220,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349706,342220,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349707,342220,2,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349711,342220,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349712,342220,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349714,342220,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349715,342220,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349716,342220,3,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349720,342220,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349721,342220,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349723,342220,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349724,342220,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
349725,342220,4,N/A,6.57,3.14,2.09,354.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350544,342225,5,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350614,342319,5,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350635,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350640,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350645,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350650,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350655,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350660,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350665,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350822,342319,5,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350823,342319,5,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350824,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350825,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350826,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350827,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350828,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350829,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350830,342319,5,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350859,342319,6,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350860,342319,6,N/A,10.68,4.0,2.67,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
350861,342319,6,N/A,16.22,4.93,3.29,174.1,0.0,NO,Not Applicable,0,0,0,0,0,0,0,0,EXCLUDED
