Data_Type,Solution_ID,Capacity_kW,Total_Investment_EUR,ROI_Percent,Annual_Energy_kWh,Net_Import_Reduction_kWh,Pareto_Optimal,Rank_Position,Selection_Date,Element_ID,Glass_Type,Glass_Area_m2,Element_Cost_EUR,Orientation,Azimuth_Degrees,Building_Level,Family_Type,Window_Width_m,Window_Height_m,Efficiency_Percent,Note
Solution_Summary,Solution_384,593.7,1499881.44,10.18,603673.2,22466446.8,False,56.0,2025-08-13 09:20:15.923324,,,,,,,,,,,,
BIPV_Element,,,,,2026.6634999999999,,,,,350544,Standard,10.68,4357.44,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,2026.6634999999999,,,,,350544,Standard,10.68,4357.44,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,2026.6634999999999,,,,,350614,Standard,10.68,4357.44,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350635,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350640,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350645,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350650,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350655,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350660,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350665,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,2026.6634999999999,,,,,350822,Standard,10.68,4357.44,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,2026.6634999999999,,,,,350823,Standard,10.68,4357.44,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350824,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350825,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
BIPV_Element,,,,,3077.94775,,,,,350826,Standard,16.22,6617.759999999999,South,174.1,5,WindowBig01,0.00,0.00,0.0,Part of solution optimization analysis
