element_id,orientation,glass_area_m2,annual_radiation_kwh_m2,capacity_kw,annual_energy_kwh,specific_yield_kwh_kw,power_density_w_m2,total_cost_eur,cost_per_kw_eur,panel_efficiency_%,panel_transparency_%,panel_cost_per_m2_eur
349634,West,1.50,878.00,0.30,207.66,702.40,197.10,117.45,397.26,0.22,0.20,87.00
349657,West,1.50,817.00,0.30,193.24,653.60,197.10,117.45,397.26,0.22,0.20,87.00
349667,West,1.50,813.00,0.30,192.29,650.40,197.10,117.45,397.26,0.22,0.20,87.00
349693,West,1.50,702.00,0.30,166.04,561.60,197.10,117.45,397.26,0.22,0.20,87.00
349694,West,1.50,889.00,0.30,210.27,711.20,197.10,117.45,397.26,0.22,0.20,87.00
349696,West,1.50,712.00,0.30,168.40,569.60,197.10,117.45,397.26,0.22,0.20,87.00
349702,West,1.50,859.00,0.30,203.17,687.20,197.10,117.45,397.26,0.22,0.20,87.00
349703,South,1.50,936.00,0.30,221.38,748.80,197.10,117.45,397.26,0.22,0.20,87.00
349705,West,1.50,846.00,0.30,200.10,676.80,197.10,117.45,397.26,0.22,0.20,87.00
349706,West,1.50,774.00,0.30,183.07,619.20,197.10,117.45,397.26,0.22,0.20,87.00
349707,East,1.50,820.00,0.30,193.95,656.00,197.10,117.45,397.26,0.22,0.20,87.00
349711,West,1.50,825.00,0.30,195.13,660.00,197.10,117.45,397.26,0.22,0.20,87.00
349712,West,1.50,678.00,0.30,160.36,542.40,197.10,117.45,397.26,0.22,0.20,87.00
349723,East,1.50,791.00,0.30,187.09,632.80,197.10,117.45,397.26,0.22,0.20,87.00
349724,East,1.50,783.00,0.30,185.20,626.40,197.10,117.45,397.26,0.22,0.20,87.00
350544,East,1.50,858.00,0.30,202.93,686.40,197.10,117.45,397.26,0.22,0.20,87.00
350614,South,1.50,1056.00,0.30,249.77,844.80,197.10,117.45,397.26,0.22,0.20,87.00
350635,East,1.50,897.00,0.30,212.16,717.60,197.10,117.45,397.26,0.22,0.20,87.00
350645,East,1.50,892.00,0.30,210.98,713.60,197.10,117.45,397.26,0.22,0.20,87.00
350650,South,1.50,1009.00,0.30,238.65,807.20,197.10,117.45,397.26,0.22,0.20,87.00
350655,South,1.50,1056.00,0.30,249.77,844.80,197.10,117.45,397.26,0.22,0.20,87.00
350660,East,1.50,722.00,0.30,170.77,577.60,197.10,117.45,397.26,0.22,0.20,87.00
