Element_ID,Wall_Hosted_ID,Glass_Area,Orientation,Azimuth,Annual_Radiation,Expected_Production,BIPV_Selected,Window_Width,Window_Height,Building_Level
349359,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,01
349634,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,01
349657,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,01
349662,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,01
349667,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,01
349693,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,00
349694,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,00
349696,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,00
349697,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,00
349698,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,00
349702,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,02
349703,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,02
349705,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,02
349706,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,02
349707,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,02
349711,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,03
349712,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,03
349714,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,03
349715,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,03
349716,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,03
349720,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,04
349721,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,04
349723,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,04
349724,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,04
349725,,6.57,North (315-45°),354.1,900.0,0.7,False,3.08,2.14,04
350544,,10.68,South (135-225°),174.1,1800.0,2.3,True,3.92,2.72,05
350544,,10.68,South (135-225°),174.1,1800.0,2.3,True,3.92,2.72,05
350614,,10.68,South (135-225°),174.1,1800.0,2.3,True,3.92,2.72,05
350635,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350640,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350645,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350650,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350655,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350660,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350665,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350822,,10.68,South (135-225°),174.1,1800.0,2.3,True,3.92,2.72,05
350823,,10.68,South (135-225°),174.1,1800.0,2.3,True,3.92,2.72,05
350824,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350825,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350826,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
350827,,16.22,South (135-225°),174.1,1800.0,3.5,True,4.83,3.36,05
