ElementId,Category,Family,Type,Level,HostWallId,OriX,OriY,OriZ,Azimuth (°),Glass Source,Glass Area (m²)
349359,Windows,M_Sliding with Trim,,01,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349634,Windows,M_Sliding with Trim,,01,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349667,Windows,M_Sliding with Trim,,01,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349662,Windows,M_Sliding with Trim,,01,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349657,Windows,M_Sliding with Trim,,01,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349693,Windows,M_Sliding with Trim,,00,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349694,Windows,M_Sliding with Trim,,00,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349696,Windows,M_Sliding with Trim,,00,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349697,Windows,M_Sliding with Trim,,00,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349698,Windows,M_Sliding with Trim,,00,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349702,Windows,M_Sliding with Trim,,02,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349703,Windows,M_Sliding with Trim,,02,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349705,Windows,M_Sliding with Trim,,02,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349706,Windows,M_Sliding with Trim,,02,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349707,Windows,M_Sliding with Trim,,02,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349711,Windows,M_Sliding with Trim,,03,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349712,Windows,M_Sliding with Trim,,03,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349714,Windows,M_Sliding with Trim,,03,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349715,Windows,M_Sliding with Trim,,03,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349716,Windows,M_Sliding with Trim,,03,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349720,Windows,M_Sliding with Trim,,04,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349721,Windows,M_Sliding with Trim,,04,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349723,Windows,M_Sliding with Trim,,04,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349724,Windows,M_Sliding with Trim,,04,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
349725,Windows,M_Sliding with Trim,,04,342220,-0.1,0.99,-0.0,354.12,Glass,6.57
367277,Windows,ARCHED_ALUMINUM_WINDOW_SYSTEM_10799,,02,342221,-0.99,-0.1,0.0,264.12,Glass,23.39
367278,Windows,ARCHED_ALUMINUM_WINDOW_SYSTEM_10799,,02,342221,-0.99,-0.1,0.0,264.12,Glass,23.39
367279,Windows,ARCHED_ALUMINUM_WINDOW_SYSTEM_10799,,02,342221,-0.99,-0.1,0.0,264.12,Glass,23.39
367280,Windows,ARCHED_ALUMINUM_WINDOW_SYSTEM_10799,,02,342221,-0.99,-0.1,0.0,264.12,Glass,23.39
367274,Windows,ARCHED_ALUMINUM_WINDOW_SYSTEM_10799,,00,342221,-0.99,-0.1,0.0,264.12,Glass,23.39
367275,Windows,ARCHED_ALUMINUM_WINDOW_SYSTEM_10799,,00,342221,-0.99,-0.1,0.0,264.12,Glass,23.39
367276,Windows,ARCHED_ALUMINUM_WINDOW_SYSTEM_10799,,00,342221,-0.99,-0.1,0.0,264.12,Glass,23.39
367281,Windows,ARCHED_ALUMINUM_WINDOW_SYSTEM_10799,,00,342221,-0.99,-0.1,0.0,264.12,Glass,23.39
369332,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342221,0.99,0.1,-0.0,84.12,Glass,1.51
369333,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342221,0.99,0.1,-0.0,84.12,Glass,1.51
369460,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342221,0.99,0.1,-0.0,84.12,Glass,1.51
369461,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342221,0.99,0.1,-0.0,84.12,Glass,1.51
369471,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342221,0.99,0.1,-0.0,84.12,Glass,1.51
369472,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342221,0.99,0.1,-0.0,84.12,Glass,1.51
369482,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342221,0.99,0.1,-0.0,84.12,Glass,1.51
369483,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342221,0.99,0.1,-0.0,84.12,Glass,1.51
367761,Windows,M_Fixed,,00,342222,-0.1,0.99,-0.0,354.12,Glass,543.15
353807,Windows,M_Sliding with Trim,,03,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353808,Windows,M_Sliding with Trim,,03,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353809,Windows,M_Sliding with Trim,,03,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353810,Windows,M_Sliding with Trim,,03,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353811,Windows,M_Sliding with Trim,,03,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353829,Windows,M_Sliding with Trim,,00,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353830,Windows,M_Sliding with Trim,,00,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353831,Windows,M_Sliding with Trim,,00,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353832,Windows,M_Sliding with Trim,,00,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353833,Windows,M_Sliding with Trim,,00,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353837,Windows,M_Sliding with Trim,,01,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353838,Windows,M_Sliding with Trim,,01,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353839,Windows,M_Sliding with Trim,,01,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353840,Windows,M_Sliding with Trim,,01,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353841,Windows,M_Sliding with Trim,,01,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353845,Windows,M_Sliding with Trim,,02,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
353846,Windows,M_Sliding with Trim,,02,342223,-0.1,0.99,-0.0,354.12,Glass,6.57
