ElementId,Name,Wall Type,Level,Length (m),Area (m²),Volume (m³),OriX,OriY,OriZ,Azimuth (°)
342220,Generic - 200mm,,00,14.8,238.42,47.68,-0.1,0.99,0.0,354.12
342221,Generic - 200mm,,00,37.33,686.77,137.36,0.99,0.1,-0.0,84.12
342222,Generic - 200mm,,00,174.42,416.9,83.38,-0.1,0.99,0.0,354.12
342223,Generic - 200mm,,00,15.27,248.83,49.76,-0.1,0.99,0.0,354.12
342225,Generic - 200mm,,00,37.11,681.77,136.36,-0.99,-0.11,0.0,263.51
342226,Generic - 200mm,,00,2.8,62.29,12.45,0.0,1.0,-0.0,0.0
342229,Generic - 200mm,,00,5.37,121.19,24.19,-1.0,0.0,0.0,270.0
342231,Generic - 200mm,,00,2.0,48.12,9.62,1.0,0.0,-0.0,90.0
342232,Generic - 200mm,,00,50.8,949.21,189.84,0.1,-0.99,0.0,174.12
342233,Generic - 200mm,,00,2.0,48.0,9.6,-1.0,0.0,0.0,270.0
342234,Generic - 200mm,,00,57.92,927.58,185.48,0.1,-0.99,0.0,174.12
342235,Generic - 200mm,,00,5.14,114.36,22.87,0.99,0.1,-0.0,84.12
342236,Generic - 200mm,,00,21.03,383.64,76.73,0.1,-0.99,0.0,174.12
342237,Generic - 200mm,,00,15.79,279.27,55.81,-0.99,-0.1,0.0,264.12
342238,Generic - 200mm,,00,33.15,564.75,112.91,-0.99,-0.1,0.0,264.12
342239,Generic - 200mm,,00,2.0,40.02,8.0,0.0,1.0,-0.0,0.0
342319,Generic - 200mm,,00,174.65,5563.7,1112.73,0.1,-0.99,0.0,174.12
342320,Generic - 200mm,,00,62.62,770.86,154.17,0.1,-0.99,0.0,174.12
342321,Generic - 200mm,,00,43.12,391.08,78.22,0.99,0.1,-0.0,84.12
342322,Generic - 200mm,,00,62.62,881.31,176.27,-0.1,0.99,-0.0,354.12
342323,Generic - 200mm,,00,22.92,294.12,58.83,-0.99,-0.1,0.0,264.12
342324,Generic - 200mm,,00,43.12,400.41,80.03,-0.99,-0.1,0.0,264.12
342325,Generic - 200mm,,00,22.2,284.71,56.94,0.1,-0.99,0.0,174.12
342326,Generic - 200mm,,00,22.7,293.86,58.77,0.99,0.1,-0.0,84.12
342327,Generic - 200mm,,00,22.2,281.06,56.21,-0.1,0.99,-0.0,354.12
