ElementId,Category,Family,Type,Level,HostWallId,OriX,OriY,OriZ,Azimuth (°),Glass Area (m²)
385910,Windows,Arched (1),,03,342232,-0.1,0.99,-0.0,354.12,0.0
385911,Windows,Arched (1),,01,342232,-0.1,0.99,-0.0,354.12,0.0
385912,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,-0.0,354.12,0.0
386006,Windows,Arched (1),,04,342232,-0.1,0.99,-0.0,354.12,0.0
386486,Windows,Arched (1),,03,342232,-0.1,0.99,0.0,354.12,0.0
386487,Windows,Arched (1),,01,342232,-0.1,0.99,0.0,354.12,0.0
386488,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,0.0,354.12,0.0
386489,Windows,Arched (1),,04,342232,-0.1,0.99,0.0,354.12,0.0
386643,Windows,Arched (1),,03,342232,-0.1,0.99,0.0,354.12,0.0
386644,Windows,Arched (1),,01,342232,-0.1,0.99,0.0,354.12,0.0
386645,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,0.0,354.12,0.0
386646,Windows,Arched (1),,04,342232,-0.1,0.99,0.0,354.12,0.0
386713,Windows,Arched (1),,03,342232,-0.1,0.99,0.0,354.12,0.0
386714,Windows,Arched (1),,01,342232,-0.1,0.99,0.0,354.12,0.0
386715,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,0.0,354.12,0.0
386716,Windows,Arched (1),,04,342232,-0.1,0.99,0.0,354.12,0.0
386728,Windows,Arched (1),,03,342232,-0.1,0.99,0.0,354.12,0.0
386729,Windows,Arched (1),,01,342232,-0.1,0.99,0.0,354.12,0.0
386730,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,0.0,354.12,0.0
386731,Windows,Arched (1),,04,342232,-0.1,0.99,0.0,354.12,0.0
386743,Windows,Arched (1),,03,342232,-0.1,0.99,0.0,354.12,0.0
386744,Windows,Arched (1),,01,342232,-0.1,0.99,0.0,354.12,0.0
386745,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,0.0,354.12,0.0
386746,Windows,Arched (1),,04,342232,-0.1,0.99,0.0,354.12,0.0
386770,Windows,Arched (1),,03,342232,-0.1,0.99,-0.0,354.12,0.0
386771,Windows,Arched (1),,01,342232,-0.1,0.99,-0.0,354.12,0.0
386772,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,-0.0,354.12,0.0
386773,Windows,Arched (1),,04,342232,-0.1,0.99,-0.0,354.12,0.0
386774,Windows,Arched (1),,03,342232,-0.1,0.99,-0.0,354.12,0.0
386775,Windows,Arched (1),,01,342232,-0.1,0.99,-0.0,354.12,0.0
386776,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,-0.0,354.12,0.0
386777,Windows,Arched (1),,04,342232,-0.1,0.99,-0.0,354.12,0.0
386778,Windows,Arched (1),,03,342232,-0.1,0.99,-0.0,354.12,0.0
386779,Windows,Arched (1),,01,342232,-0.1,0.99,-0.0,354.12,0.0
386780,Windows,M_Casement 3x3 with Trim,,00,342232,-0.1,0.99,-0.0,354.12,0.0
386781,Windows,Arched (1),,04,342232,-0.1,0.99,-0.0,354.12,0.0
383924,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
383925,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
383926,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
383927,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
383928,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384220,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384221,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384222,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384223,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384224,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384378,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384379,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384380,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384381,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384382,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384367,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384368,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384369,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384370,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384371,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384356,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384357,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384358,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384359,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384360,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384345,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384346,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384347,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384348,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384349,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384334,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384335,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384336,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384337,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384338,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384323,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384324,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384325,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
384326,Windows,Arched (1),,01,342234,-0.1,0.99,0.0,354.12,0.0
384327,Windows,M_Casement 3x3 with Trim,,00,342234,-0.1,0.99,0.0,354.12,0.0
384312,Windows,Arched (1),,03,342234,-0.1,0.99,0.0,354.12,0.0
384313,Windows,WINDOW_W_SOLDIER_COURSE_8505,,04,342234,0.1,-0.99,-0.0,174.12,0.0
